id	level1	level2	level3	level4	level5
1387264156101840898	NOT ABUSIVE				
1382309523851923457	NOT ABUSIVE				
1334176621796835328	ABUSIVE	GROUP	RELIGIOUS HATE	ANTI-ISLAM	DEROGATION AND DEHUMANIZATION
1338387353732308993	NOT ABUSIVE				
1337976598717489153	NOT ABUSIVE				
1386888373982294016	ABUSIVE	GROUP	RELIGIOUS HATE	ANTI-CHRISTIANITY	DEROGATION AND DEHUMANIZATION
1402686938214113281	NOT ABUSIVE				
1337767628270690304	NOT ABUSIVE				
1339469179913601024	NOT ABUSIVE				
1428920669341900801	NOT ABUSIVE				
1378326668801146883	NOT ABUSIVE				
1407015902248374279	NOT ABUSIVE				
1422619746969612290	NOT ABUSIVE				
1340031688336961537	NOT ABUSIVE				
1333881642574819329	ABUSIVE	GROUP	RELIGIOUS HATE	ANTI-CHRISTIANITY	THREATENING LANGUAGE; ANIMOSITY
1336788011074392064	NOT ABUSIVE				
1344272735078391809	NOT ABUSIVE				
1431500340193603585	NOT ABUSIVE				
1336775342640402433	ABUSIVE	GROUP	RELIGIOUS HATE	ANTI-CHRISTIANITY	ANIMOSITY
1377708760911773697	NOT ABUSIVE				
1356088946887950338	NOT ABUSIVE				
1343516609294430209	NOT ABUSIVE				
1400799776514490371	ABUSIVE	GROUP	RELIGIOUS HATE	ANTI-JUDAISM	THREATENING LANGUAGE
1405974772882804736	ABUSIVE	GROUP	RELIGIOUS HATE	ANTI-ISLAM	DEROGATION AND DEHUMANIZATION; ANIMOSITY
1342159741242527744	NOT ABUSIVE				
1405378618046353413	NOT ABUSIVE				
1402768995900481537	NOT ABUSIVE				
1336883213088636928	NOT ABUSIVE				
1339994461787578369	NOT ABUSIVE				
1409050574587191299	NOT ABUSIVE				
1401415779170590720	NOT ABUSIVE				
1343711383146401798	NOT ABUSIVE				
1338835861664837633	ABUSIVE	INDIVIDUAL			
1334960264605822976	NOT ABUSIVE				
1431992658239672323	NOT ABUSIVE				
1403497337381552129	NOT ABUSIVE				
1337825039148781568	NOT ABUSIVE				
1427285774597115904	NOT ABUSIVE				
1403656687714713600	NOT ABUSIVE				
1336309835072229376	NOT ABUSIVE				
1343269638550024198	NOT ABUSIVE				
1383209088050421765	NOT ABUSIVE				
1425425018821959682	NOT ABUSIVE				
1386050712564551682	NOT ABUSIVE				
1380481063827484672	NOT ABUSIVE				
1403734441999028227	NOT ABUSIVE				
1379120030496010250	NOT ABUSIVE				
1335671629238726656	NOT ABUSIVE				
1337399417255575552	NOT ABUSIVE				
1382381643852357633	NOT ABUSIVE				
1426159885880905736	NOT ABUSIVE				
1340689317375709189	NOT ABUSIVE				
1356278739211087877	ABUSIVE	GROUP	RELIGIOUS HATE	ANTI-CHRISTIANITY	DEROGATION AND DEHUMANIZATION
1387555588561948672	NOT ABUSIVE				
1423603659527663616	NOT ABUSIVE				
1341282023294558208	NOT ABUSIVE				
1335488791721684994	ABUSIVE	GROUP	RELIGIOUS HATE	ANTI-ISLAM	ANIMOSITY
1365845338335027201	NOT ABUSIVE				
1337637080722067456	NOT ABUSIVE				
1378683641665048579	NOT ABUSIVE				
1427817643562594306	NOT ABUSIVE				
1342302351613251584	NOT ABUSIVE				
1338964580832309249	NOT ABUSIVE				
1338883463202578433	NOT ABUSIVE				
1432074423004241930	NOT ABUSIVE				
1336490377147199488	NOT ABUSIVE				
1406936984363413509	NOT ABUSIVE				
1343652028141232128	NOT ABUSIVE				
1387493832229629957	NOT ABUSIVE				
1431586075584073733	NOT ABUSIVE				
1333775117625671681	NOT ABUSIVE				
1406244726542508034	ABUSIVE	INDIVIDUAL			
1334913878342430722	NOT ABUSIVE				
1339353323086860288	NOT ABUSIVE				
1429798139150622728	NOT ABUSIVE				
1340954309530292227	NOT ABUSIVE				
1335652107689594880	NOT ABUSIVE				
1335254174829862912	ABUSIVE	GROUP	RELIGIOUS HATE	ANTI-CHRISTIANITY	DEROGATION AND DEHUMANIZATION
1343619721644503041	ABUSIVE	GROUP	RELIGIOUS HATE	ANTI-ISLAM	ANIMOSITY
1336527601872015361	NOT ABUSIVE				
1362303893858889728	NOT ABUSIVE				
1404453459978383362	NOT ABUSIVE				
1341386595950350336	NOT ABUSIVE				
1428380818917838853	NOT ABUSIVE				
1427325595113775105	NOT ABUSIVE				
1383840733086453761	NOT ABUSIVE				
1340702729736470529	NOT ABUSIVE				
1377642108228661262	NOT ABUSIVE				
1402708678281662465	NOT ABUSIVE				
1340576224490483712	NOT ABUSIVE				
1380197222252351488	NOT ABUSIVE				
1344234712185753600	ABUSIVE	GROUP	RELIGIOUS HATE	ANTI-ISLAM	ANIMOSITY
1342212253957955584	NOT ABUSIVE				
1421883273035268104	NOT ABUSIVE				
1340386325598494721	NOT ABUSIVE				
1429831234272862213	NOT ABUSIVE				
1406761238542139396	NOT ABUSIVE				
1341354744317620224	NOT ABUSIVE				
1403248109979721732	NOT ABUSIVE				
1333631794290286593	NOT ABUSIVE				
1378524957592850432	NOT ABUSIVE				
1338108919131025408	NOT ABUSIVE				
1386656992568258562	NOT ABUSIVE				
1338208366720503808	NOT ABUSIVE				
1386522432752611328	ABUSIVE	UNTARGETED			
1338578847709556738	NOT ABUSIVE				
1380713347633487872	NOT ABUSIVE				
1407518566820331520	NOT ABUSIVE				
1385070418520858627	NOT ABUSIVE				
1383057220632387593	ABUSIVE	UNTARGETED			
1333613291290157061	NOT ABUSIVE				
1334933494615560192	NOT ABUSIVE				
1379042159672852485	NOT ABUSIVE				
1338300610152722433	NOT ABUSIVE				
1344181393748848640	NOT ABUSIVE				
1378040102056828935	NOT ABUSIVE				
1404569514725953540	NOT ABUSIVE				
1356077166644121604	NOT ABUSIVE				
1409587557810073606	NOT ABUSIVE				
1382205571399524361	NOT ABUSIVE				
1426863333421068289	NOT ABUSIVE				
1343355007849132033	NOT ABUSIVE				
1399763053609197574	NOT ABUSIVE				
1385333586409267201	NOT ABUSIVE				
1343848370213974016	NOT ABUSIVE				
1379137382704816130	NOT ABUSIVE				
1333832690555101186	NOT ABUSIVE				
1399629117218123778	NOT ABUSIVE				
1399776768953831425	NOT ABUSIVE				
1378890206808522754	NOT ABUSIVE				
1385553383986274305	NOT ABUSIVE				
1360912124478906370	ABUSIVE	GROUP	RELIGIOUS HATE	ANTI-JUDAISM	ABUSIVE HUMOR; DEROGATION AND DEHUMANIZATION
1379091398889254912	NOT ABUSIVE				
1341972559324184578	NOT ABUSIVE				
1424232587493625856	NOT ABUSIVE				
1333617999220269067	ABUSIVE	GROUP	RELIGIOUS HATE	ANTI-ISLAM	DEROGATION AND DEHUMANIZATION
1333969877623656448	ABUSIVE	UNTARGETED			
1334419062177325056	NOT ABUSIVE				
1386805796315480066	ABUSIVE	GROUP	RELIGIOUS HATE	ANTI-ISLAM	ANIMOSITY
1357647998449238016	NOT ABUSIVE				
1422006385085239300	NOT ABUSIVE				
1342678615037636608	NOT ABUSIVE				
1383560608377827338	NOT ABUSIVE				
1341696122432217088	NOT ABUSIVE				
1381263638057480199	NOT ABUSIVE				
1342119351479111680	NOT ABUSIVE				
1337527589901115393	NOT ABUSIVE				
1430156495203745801	NOT ABUSIVE				
1336371991885066240	NOT ABUSIVE				
1424724060752257025	NOT ABUSIVE				
1424008648641052676	NOT ABUSIVE				
1357074047809458176	NOT ABUSIVE				
1338908687272996867	NOT ABUSIVE				
